Table 80,,,,
Full-time Law Enforcement Employees ,,,,
"by State by Metropolitan and Nonmetropolitan Counties, 2014",,,,
State,County,police,"Total
officers","Total
civilians"
,Stearns,182,63,119
,St. Louis,233,99,134
,Wabasha,29,17,12
,Washington,234,95,139
,Wright,223,135,88
MINNESOTA-Nonmetropolitan Counties,Aitkin,45,18,27
,Becker,57,21,36
,Beltrami,66,29,37
,Big Stone,7,4,3
,Brown,35,13,22
,Cass,67,37,30
,Chippewa,18,8,10
,Clearwater,21,8,13
,Cook,21,12,9
,Cottonwood,20,9,11
,Crow Wing,116,37,79
,Douglas,76,28,48
,Faribault,27,11,16
,Freeborn,63,21,42
,Goodhue,103,39,64
,Grant,11,6,5
,Hubbard,43,16,27
,Itasca,70,32,38
,Jackson,34,19,15
,Kanabec,47,18,29
,Kandiyohi,103,33,70
,Kittson,10,5,5
,Koochiching,20,10,10
,Lac Qui Parle,11,7,4
,Lake,28,17,11
,Lake of the Woods,10,5,5
,Lincoln,11,6,5
,Lyon,50,15,35
,Mahnomen,18,12,6
,Marshall,23,13,10
,Martin,31,12,19
,McLeod,56,23,33
,Meeker,45,19,26
,Morrison,48,17,31
,Mower,69,22,47
,Murray,14,8,6
,Nobles,34,12,22
,Norman,8,5,3
,Otter Tail,75,33,42
,Pennington,27,7,20
,Pine,78,31,47
